service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20210318,20210617
000002,0,0,0,0,0,0,0,20210318,20210617
000003,0,0,0,0,0,0,0,20210318,20210617
000004,0,0,0,0,0,0,0,20210318,20210617
000005,0,0,0,0,0,0,0,20210318,20210617
000006,0,0,0,0,0,0,0,20210318,20210617
000007,0,0,0,0,0,0,0,20210318,20210617
000008,0,0,0,0,0,0,0,20210318,20210617
000009,0,0,0,0,0,0,0,20210318,20210617
000010,0,0,0,0,0,0,0,20210318,20210617
000011,0,0,0,0,0,0,0,20210318,20210617
000012,0,0,0,0,0,0,0,20210318,20210617
000013,0,0,0,0,0,0,0,20210318,20210617
000014,0,0,0,0,0,0,0,20210318,20210617
000015,0,0,0,0,0,0,0,20210318,20210617
000016,0,0,0,0,0,0,0,20210318,20210617
000017,0,0,0,0,0,0,0,20210318,20210617
000018,0,0,0,0,0,0,0,20210318,20210617
000019,0,0,0,0,0,0,0,20210318,20210617
000020,0,0,0,0,0,0,0,20210318,20210617
000021,0,0,0,0,0,0,0,20210318,20210617
000022,0,0,0,0,0,0,0,20210318,20210617
000023,0,0,0,0,0,0,0,20210318,20210617
000024,0,0,0,0,0,0,0,20210318,20210617
000025,0,0,0,0,0,0,0,20210318,20210617
000026,0,0,0,0,0,0,0,20210318,20210617
000027,0,0,0,0,0,0,0,20210318,20210617
000028,0,0,0,0,0,0,0,20210318,20210617
000029,0,0,0,0,0,0,0,20210318,20210617
000030,0,0,0,0,0,0,0,20210318,20210617
000031,0,0,0,0,0,0,0,20210318,20210617
000032,0,0,0,0,0,0,0,20210318,20210617
000033,0,0,0,0,0,0,0,20210318,20210617
000034,0,0,0,0,0,0,0,20210318,20210617
000035,0,0,0,0,0,0,0,20210318,20210617
000036,0,0,0,0,0,0,0,20210318,20210617
000037,0,0,0,0,0,0,0,20210318,20210617
000038,0,0,0,0,0,0,0,20210318,20210617
000039,0,0,0,0,0,0,0,20210318,20210617
000040,0,0,0,0,0,0,0,20210318,20210617
000041,0,0,0,0,0,0,0,20210318,20210617
000042,0,0,0,0,0,0,0,20210318,20210617
000043,0,0,0,0,0,0,0,20210318,20210617
000044,0,0,0,0,0,0,0,20210318,20210617
000045,0,0,0,0,0,0,0,20210318,20210617
000046,0,0,0,0,0,0,0,20210318,20210617
000047,0,0,0,0,0,0,0,20210318,20210617
000048,0,0,0,0,0,0,0,20210318,20210617
000049,0,0,0,0,0,0,0,20210318,20210617
000050,0,0,0,0,0,0,0,20210318,20210617
000051,0,0,0,0,0,0,0,20210318,20210617
000052,0,0,0,0,0,0,0,20210318,20210617
000053,0,0,0,0,0,0,0,20210318,20210617
000054,0,0,0,0,0,0,0,20210318,20210617
000055,0,0,0,0,0,0,0,20210318,20210617
000056,0,0,0,0,0,0,0,20210318,20210617
000057,0,0,0,0,0,0,0,20210318,20210617
000058,0,0,0,0,0,0,0,20210318,20210617
000059,0,0,0,0,0,0,0,20210318,20210617
000060,0,0,0,0,0,0,0,20210318,20210617
000061,0,0,0,0,0,0,0,20210318,20210617
000062,0,0,0,0,0,0,0,20210318,20210617
000063,0,0,0,0,0,0,0,20210318,20210617
000064,0,0,0,0,0,0,0,20210318,20210617
000065,0,0,0,0,0,0,0,20210318,20210617
000066,0,0,0,0,0,0,0,20210318,20210617
000067,0,0,0,0,0,0,0,20210318,20210617
000068,0,0,0,0,0,0,0,20210318,20210617
000069,0,0,0,0,0,0,0,20210318,20210617
000070,0,0,0,0,0,0,0,20210318,20210617
000071,0,0,0,0,0,0,0,20210318,20210617
000072,0,0,0,0,0,0,0,20210318,20210617
000073,0,0,0,0,0,0,0,20210318,20210617
000074,0,0,0,0,0,0,0,20210318,20210617
000075,0,0,0,0,0,0,0,20210318,20210617
000076,0,0,0,0,0,0,0,20210318,20210617
000077,0,0,0,0,0,0,0,20210318,20210617
000078,0,0,0,0,0,0,0,20210318,20210617
000079,0,0,0,0,0,0,0,20210318,20210617
000080,0,0,0,0,0,0,0,20210318,20210617
000081,0,0,0,0,0,0,0,20210318,20210617
000082,0,0,0,0,0,0,0,20210318,20210617
000083,0,0,0,0,0,0,0,20210318,20210617
000084,0,0,0,0,0,0,0,20210318,20210617
000085,0,0,0,0,0,0,0,20210318,20210617
000086,0,0,0,0,0,0,0,20210318,20210617
000087,0,0,0,0,0,0,0,20210318,20210617
000088,0,0,0,0,0,0,0,20210318,20210617
000089,0,0,0,0,0,0,0,20210318,20210617
000090,0,0,0,0,0,0,0,20210318,20210617
000091,0,0,0,0,0,0,0,20210318,20210617
000092,0,0,0,0,0,0,0,20210318,20210617
000093,0,0,0,0,0,0,0,20210318,20210617
000094,0,0,0,0,0,0,0,20210318,20210617
000095,0,0,0,0,0,0,0,20210318,20210617
000096,0,0,0,0,0,0,0,20210318,20210617
000097,0,0,0,0,0,0,0,20210318,20210617
000098,0,0,0,0,0,0,0,20210318,20210617
000099,0,0,0,0,0,0,0,20210318,20210617
000100,0,0,0,0,0,0,0,20210318,20210617
000101,0,0,0,0,0,0,0,20210318,20210617
000102,0,0,0,0,0,0,0,20210318,20210617
000103,0,0,0,0,0,0,0,20210318,20210617
000104,0,0,0,0,0,0,0,20210318,20210617
000105,0,0,0,0,0,0,0,20210318,20210617
000106,0,0,0,0,0,0,0,20210318,20210617
000107,0,0,0,0,0,0,0,20210318,20210617
000108,0,0,0,0,0,0,0,20210318,20210617
000109,0,0,0,0,0,0,0,20210318,20210617
000110,0,0,0,0,0,0,0,20210318,20210617
000111,0,0,0,0,0,0,0,20210318,20210617
000112,0,0,0,0,0,0,0,20210318,20210617
000113,0,0,0,0,0,0,0,20210318,20210617
000114,0,0,0,0,0,0,0,20210318,20210617
000115,0,0,0,0,0,0,0,20210318,20210617
000116,0,0,0,0,0,0,0,20210318,20210617
000117,0,0,0,0,0,0,0,20210318,20210617
000118,0,0,0,0,0,0,0,20210318,20210617
000119,0,0,0,0,0,0,0,20210318,20210617
000120,0,0,0,0,0,0,0,20210318,20210617
000121,0,0,0,0,0,0,0,20210318,20210617
000122,0,0,0,0,0,0,0,20210318,20210617
000123,0,0,0,0,0,0,0,20210318,20210617
000124,0,0,0,0,0,0,0,20210318,20210617
000125,0,0,0,0,0,0,0,20210318,20210617
000126,0,0,0,0,0,0,0,20210318,20210617
000127,0,0,0,0,0,0,0,20210318,20210617
000128,0,0,0,0,0,0,0,20210318,20210617
000129,0,0,0,0,0,0,0,20210318,20210617
